Iteracion,TamanoPareto,PoblacionUnica,DiversidadRutas,MejorLatencia,MejorPerdida,MejorJitter,MejorAnchoBanda,PromedioIntentosSinMejora
87,30,30,0.9255162194246214,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.466666666666667
88,30,30,0.9357241744665104,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,7.0
89,30,30,0.9310462020374479,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,7.333333333333333
90,30,30,0.9314163765089541,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.466666666666667
91,30,30,0.935484040355453,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,4.433333333333334
92,30,30,0.933979715146115,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,5.3
93,30,30,0.9284850824492304,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,5.433333333333334
94,30,30,0.9281288741289274,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,6.666666666666667
95,30,30,0.9223276235545372,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.2
96,30,30,0.9209669020646388,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.333333333333334
97,30,30,0.921524864719413,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,9.266666666666667
98,30,30,0.911393563989913,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,9.3
99,30,30,0.9125228573288251,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,9.233333333333333
100,30,30,0.9165239829780237,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,9.1
101,30,30,0.9115046791656165,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.966666666666667
102,30,30,0.9097470466321219,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,10.366666666666667
103,31,30,0.915660144453248,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,10.0
104,31,30,0.921627414730863,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,9.466666666666667
105,31,30,0.9177946957257301,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,10.166666666666666
106,31,30,0.9233787538492954,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,8.8
107,31,30,0.9272002060679194,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,8.733333333333333
108,31,30,0.9198887846808739,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,9.4
109,31,30,0.91030891203305,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,8.966666666666667
110,31,30,0.9151867300265932,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,6.7
111,31,30,0.9212195760164693,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,4.866666666666666
112,31,30,0.9196728044798399,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,6.266666666666667
113,31,30,0.9189003365499947,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,7.0
114,31,30,0.9197693175279382,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,7.466666666666667
115,31,30,0.9217217137906792,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,6.4
116,31,30,0.9220853986371228,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,6.266666666666667
117,31,30,0.931517659337132,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,6.566666666666666
