Iteracion,TamanoPareto,PoblacionUnica,DiversidadRutas,MejorLatencia,MejorPerdida,MejorJitter,MejorAnchoBanda,PromedioIntentosSinMejora
106,19,30,0.9389812260830374,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.466666666666667
107,19,30,0.9299284669528657,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,2.466666666666667
108,19,30,0.9337379381786832,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.466666666666667
109,19,30,0.9330733252172537,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.566666666666667
110,19,30,0.9420459219937006,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,2.933333333333333
111,19,30,0.934240418168005,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.3
112,19,30,0.9452775296560669,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.1666666666666665
113,19,30,0.9477494049761659,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.3666666666666667
114,19,30,0.9491809091071158,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.6333333333333333
115,19,30,0.9376824076516735,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,4.633333333333334
116,19,30,0.9412189198470549,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,4.2
117,20,30,0.9335688353029539,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,4.3
118,20,30,0.9486581504555794,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.1333333333333333
119,20,30,0.9398479915781002,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.0
120,20,30,0.9409785039242723,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,4.266666666666667
121,20,30,0.9485485807612637,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.3333333333333335
122,20,30,0.9452445198630559,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.3
123,20,30,0.9397021377524877,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,4.2
124,20,30,0.9333235285900702,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,4.5
125,20,30,0.9239404663510776,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,5.466666666666667
126,20,30,0.9417684789788484,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,5.533333333333333
127,20,30,0.9433160348758403,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,5.366666666666666
128,20,30,0.9407604907641374,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.7
129,20,30,0.9387721242091573,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.7666666666666666
130,20,30,0.9424710163005716,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.5
131,20,30,0.9431829048360315,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.3666666666666667
132,20,30,0.9444927157287157,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,1.7666666666666666
133,20,30,0.9495833420425751,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,2.0
134,20,30,0.9528060232315892,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,1.9666666666666666
135,20,30,0.9544818339461134,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,1.6666666666666667
136,20,30,0.9565739715540531,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,2.1333333333333333
137,20,30,0.9561974770967577,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,2.3
138,20,30,0.9505711700625155,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,2.433333333333333
139,20,30,0.944836663972588,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,2.8333333333333335
140,20,30,0.9458907163203172,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.2333333333333334
141,20,30,0.9488291202627577,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,4.566666666666666
142,20,30,0.9527327648799965,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,4.433333333333334
143,20,30,0.9521091526443911,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.0
144,20,30,0.9516063479342639,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.1333333333333333
145,20,30,0.9558370996946037,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.1666666666666665
146,20,30,0.955226340065675,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.533333333333333
147,20,30,0.9560202411685914,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,2.1
148,20,30,0.9509661995538536,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,2.1333333333333333
149,20,30,0.9531878885652623,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,2.8333333333333335
150,20,30,0.9529648415344276,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,2.2333333333333334
151,20,30,0.9477402282259275,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.3333333333333335
152,20,30,0.9444401136339186,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,4.166666666666667
153,20,30,0.9386740093343184,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,4.366666666666666
154,20,30,0.9486609941466383,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,4.166666666666667
155,20,30,0.9481067162849364,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,3.933333333333333
156,20,30,0.9459084879720121,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,4.5
