Iteraciones,Seed,TiempoSegundos,TamanoPareto,PoblacionUnica,DiversidadRutas,MejorLatencia,MejorPerdida,MejorJitter,MejorAnchoBanda,GapLatencia,GapPerdida,GapJitter,GapAnchoBanda,OptimoLatencia,OptimoPerdida,OptimoJitter,OptimoAnchoBanda,OptimosAlcanzados,TodosOptimos
250,3,46.50746260001324,35,30,0.9292739884665632,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
250,4,46.57938430001377,34,30,0.9248559362656725,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
250,5,47.93149149999954,32,30,0.9300157983778673,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
250,6,47.95820520000416,33,30,0.9362766296229038,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
250,7,49.281985799985705,34,30,0.9339679497854473,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
250,8,47.31852699999581,35,30,0.9294197389639323,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
250,9,48.44237089998205,34,30,0.9262587699656667,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
250,10,48.00487589999102,35,30,0.9199483466724846,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
400,1,73.57870709997951,34,30,0.9198705509050338,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
400,2,76.14893830000074,36,30,0.9378925951054887,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
400,3,76.98961260000942,38,30,0.9344888422866966,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
400,4,75.71194969999488,37,30,0.941547564424711,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
400,5,74.51494419999653,35,30,0.9233893118375878,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
400,6,77.4148224000237,35,30,0.9299389416833637,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
400,7,78.56789989999379,35,30,0.9304179993365432,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
400,8,76.61725490001845,36,30,0.9199750287769397,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
400,9,77.16220489999978,36,30,0.921923828592466,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
400,10,75.90402980000363,37,30,0.9153178984757933,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
